line = five3onelxjninenine45, First digit = five, Last digit = 3, f = 5, l = 3
line = six9mnfjmtsf2kfmznkxntninesevenrpmfjfpgsk, First digit = six, Last digit = 9, f = 6, l = 9
line = 9vkrmbpnine5two5cbktwo6, First digit = 9, Last digit = nine, f = 9, l = 9
line = one1bdr6, First digit = one, Last digit = 1, f = 1, l = 1
line = ksvctznmffourtwovbb9four5five, First digit = four, Last digit = four, f = 4, l = 4
line = 6nfhcklxlkg9jbqmqrrxmhn9two6, First digit = 6, Last digit = 9, f = 6, l = 9
line = 9eight2six97dkth, First digit = 9, Last digit = eight, f = 9, l = 8
line = sixgjqm64dkvcccvttnts, First digit = six, Last digit = 6, f = 6, l = 6
line = twofivefourb5four, First digit = two, Last digit = five, f = 2, l = 5
line = gfive2, First digit = five, Last digit = five, f = 5, l = 5
line = two18twocsxffivetwo4, First digit = two, Last digit = 1, f = 2, l = 1
line = rmchfml6four6twofive, First digit = 6, Last digit = 6, f = 6, l = 6
line = 278eight, First digit = 2, Last digit = 7, f = 2, l = 7
line = six5758jjqpgnvlztwolkcvxtjphd4, First digit = six, Last digit = 5, f = 6, l = 5
line = fourz26ninethree8fourxrjlq, First digit = four, Last digit = 2, f = 4, l = 2
line = mhpx31fznvh6nnjbvjt6seven, First digit = 3, Last digit = 3, f = 3, l = 3
line = kscs7kfvb1three2vnfjrtlvb, First digit = 7, Last digit = 7, f = 7, l = 7
line = mcrxqxcxgq3eight9, First digit = 3, Last digit = 3, f = 3, l = 3
line = 17eightone8ninebshqmfd, First digit = 1, Last digit = 7, f = 1, l = 7
line = 1sgtxeightsix9, First digit = 1, Last digit = eight, f = 1, l = 8
line = 96threeninetwo, First digit = 9, Last digit = 6, f = 9, l = 6
line = five963fivexfgfgfbzrjjfive6, First digit = five, Last digit = 9, f = 5, l = 9
line = 5993zkdnfm, First digit = 5, Last digit = 9, f = 5, l = 9
line = 1xnfxsqhninefour3eight, First digit = 1, Last digit = nine, f = 1, l = 9
line = hplgtxvbfqrthreeonefour7, First digit = three, Last digit = three, f = 3, l = 3
line = 84cclxfjrhptnfbcpd2, First digit = 8, Last digit = 4, f = 8, l = 4
line = nineeight2kslgcchdxjppkthreeqhhs, First digit = nine, Last digit = 2, f = 9, l = 2
